"","Mi Gorda Bella Rr","","","","","","3","16","12","2022","1","2022-12-16 05:00:00","2022-12-16 06:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","39432"                                                                                                                                                                                                                                                                                                                                 
"","Televistazo  Al  Amanecer","Es Un Noticiero Enfocado Para Que El Televidente Se Informe A Primera Hora De Noticias Actualizadas A Nivel Nacional.","","","","","3","16","12","2022","1","2022-12-16 06:00:00","2022-12-16 07:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","30654"                                                                                                                                                                                                    
"","Contacto Directo","Es Un Noticiero Objetivo E Imparcial Entorno A La Politica Nacional En El Que Se Crea Un Debate De Analisis Publico","","","","","3","16","12","2022","1","2022-12-16 07:00:00","2022-12-16 07:30:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","24029"                                                                                                                                                                                                               
"","Televistazo En La Comunidad","Este Noticiero Surge Como Respuesta A Demandas Sociales Por Visibilizarse Y Hacerse Eco, Principalmente Barriales , Comunales Entre Otros; De Estos Sectores Que No Eran Tomados En Cuenta , Por Lo Que Ahora Es La Prioridad A La Hora De Emitir Televistazo A La Comunidad","","","","","3","16","12","2022","1","2022-12-16 07:30:00","2022-12-16 09:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","30655"                                           
"","La Heredera","","","","","","3","16","12","2022","1","2022-12-16 09:00:00","2022-12-16 10:30:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","40001"                                                                                                                                                                                                                                                                                                                                       
"","En Contacto","Revista De Variedades Con Noticias De Actualidad Sobre Entretenimiento, Farándula Y Entrevistas A Especialistas En Temas De Sexualidad, Matrimonio, Manualidades Y De Belleza. Conducido Por Ursula Strenge, Efraín Ruales, Andrea Rendón, Henry Bustamante, Jonathan Estrada Y Michela Pincay","","","","","3","16","12","2022","1","2022-12-16 10:30:00","2022-12-16 13:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","30656"                                         
"","Televistazo","Un Noticiero Enfocado En Las Prioridades Sobre El Acontecer Nacional E Internacional, De Lunes A Viernes Ofreciéndole Al Televidente , Las Noticias De La Primera Jornada.","","","","","3","16","12","2022","1","2022-12-16 13:00:00","2022-12-16 14:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","24031"                                                                                                                                                             
"","Los Hackers De La Farándula","","","","","","3","16","12","2022","1","2022-12-16 14:00:00","2022-12-16 15:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","40414"                                                                                                                                                                                                                                                                                                                       
"","Mi Gorda Bella Rr","","","","","","3","16","12","2022","1","2022-12-16 15:00:00","2022-12-16 16:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","39432"                                                                                                                                                                                                                                                                                                                                 
"","Gata Salvaje Rr","","","","","","3","16","12","2022","1","2022-12-16 16:00:00","2022-12-16 17:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","39431"                                                                                                                                                                                                                                                                                                                                   
"","Pasion De Gavilanes","","","","","","3","16","12","2022","1","2022-12-16 17:00:00","2022-12-16 18:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","39813"                                                                                                                                                                                                                                                                                                                               
"","Punto Limite Tematicos","","","","","","3","16","12","2022","1","2022-12-16 18:00:00","2022-12-16 19:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","40454"                                                                                                                                                                                                                                                                                                                            
"","Televistazo","El Noticiero Estelar, Contiene Informacion De Mayor Importancia De Los Acontecimientos Que Pasan En La Actualidad Nacional E Internacional.","","","","","3","16","12","2022","1","2022-12-16 19:00:00","2022-12-16 20:30:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","24035"                                                                                                                                                                                            
"","Una Mujer Engañada Ii","","","","","","3","16","12","2022","1","2022-12-16 20:30:00","2022-12-16 21:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","40249"                                                                                                                                                                                                                                                                                                                             
"","Cia 593","","","","","","3","16","12","2022","1","2022-12-16 21:00:00","2022-12-16 22:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","39949"                                                                                                                                                                                                                                                                                                                                           
"","Me Robaste El Corazon","","","","","","3","16","12","2022","1","2022-12-16 22:00:00","2022-12-16 23:15:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","40256"                                                                                                                                                                                                                                                                                                                             
"","Sharon Temporada Ii Rr","","","","","","3","16","12","2022","1","2022-12-16 23:15:00","2022-12-16 00:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","39461"                                                                                                                                                                                                                                                                                                                            
"","Estadio Play","","","","","","3","16","12","2022","1","2022-12-16 00:00:00","2022-12-16 01:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","40464"                                                                                                                                                                                                                                                                                                                                      
"","Ser","","","","","","3","16","12","2022","1","2022-12-16 01:00:00","2022-12-16 02:00:00","day","1","1","1","2022-12-16","1","0","0000-00-00 00:00:00","0","40434"                                                                                                                                                                                                                                                                                                                                               
